xx,Site,Season,Date,Time,Depth,Towdist,Towarea,SGcont,perTha,perSyr,perOSG,perTotSG,lenTha,lenSyr,lenOSG,perSand,perAlgae,volAlgae,denAlgae,Secchi,Landist,Edgedist,1*Lhab,2*Lhab,Long,Lat,Segment (BB vs SC),Salinity,Conduct,DO,DOsat,Temp,Notes
108,BB10_025,2010,7/2/2010,10:00,0.5,84,157.08,1,0.85,0,0,0.85,45,NA,NA,0.15,0,85171.7655,542.219,0.5,0.17,5.3,1,5,-83.4059,29.5422,0,,,,,24,Thal 40-50cm; sand patches; lots of drift algae
109,BB10_026,2010,6/23/2010,9:15,1.5,82,153.34,1,0,0.65,0,0.65,,40,NA,0.15,0.2,946.353,6.1716,NA,2.7,2.4,5,1,-82.8468,29.0835,1,22.8,39.6,5.7,85.3,29.8,Syr 30-50 cm (estimated from Aqua Vu); Attached macro and sand in large patches
110,BB10_029,2010,7/6/2010,13:20,2.9,92,172.04,1,0.6,0.02,0,0.62,30,20,NA,0.38,0,1892.7059,11.0015,2.9,6.36,8.1,1,5,-83.8833,29.9483,0,28.9,47.4,5.9,88.9,28.2,Thal 20-40cm; Syr 20cm; sand inter w/some patches
111,BB10_032,2010,6/14/2010,13:30,2.3,83,155.21,2,0.4,0,0.05,0.45,7.5,NA,7.5,0.55,0,33122.3533,213.4035,2.3,2.88,9.9,1,5,-82.7578,28.3371,1,34,59,5.7,94.5,31.9,Thal and Hal 5-10 cm; Sand interspersed with some patches
112,BB10_034,2010,6/30/2010,16:30,5,125,233.75,1,0.1,0.05,0,0.15,30,40,NA,0.75,0.1,18927.059,80.9714,NA,10.35,1.4,1,5,-83.7785,29.8585,0,30.8,53.6,6,97.8,31.4,Thal 20-40cm; Syr 40cm; sand inter & patches; many sponges in video
113,BB10_036,2010,6/17/2010,11:18,2.6,90,168.3,2,0.95,0.02,0,0.97,30,30,NA,0.03,0,37854.118,224.9205,2.6,9.52,6.4,5,1,-82.7627,28.656,1,24.2,44,5.6,89.4,32.6,Thal and Syr 20-40 cm interspersed; Sand patches; Trawled 250m from site bc otherwise was drift and attached macro
114,BB10_037,2010,7/2/2010,8:00,2.5,102,190.74,1,0.1,0.85,0,0.95,55,55,NA,0.05,0,0,0,NA,5.19,0.3,1,5,-83.5563,29.6788,0,,,,,,Thal/Syr 50-60cm; sand patches w/some inter; bad video (moving too fast)
115,BB10_038,2010,7/7/2010,14:35,2.5,91,170.17,1,0.4,0.6,0,1,65,65,NA,0,0,7570.8236,44.4898,NA,5.45,1.8,1,5,-84.0895,30.0426,0,21.8,38.4,6.6,97.4,30.4,Thal and Syr ~65 cm; evenly dispersed; thin coverage w/sm sand patches; sm softball sz clumps of algae evenly mixed
116,BB10_043,2010,6/21/2010,15:10,1.8,82,153.34,2,0.49,0.49,0,0.98,35,35,NA,0.02,0,18927.059,123.432,1.8,7.26,4.5,1,2,-82.7667,28.891,1,27.5,48.4,8.5,135.1,31.6,Thal and Syr 20-50 cm; mostly interspersed w/some areas of alternating dominance
117,BB10_046,2010,6/24/2010,9:00,1.2,46,86.02,1,1,0,0,1,35,NA,NA,0,0,75708.236,880.1236,2.12,5.08,0.7,1,5,-83.2581,29.3799,0,23.5,40.9,6.5,98.7,30.1,Thal 30-40 cm; lots of egg like masses. See video
118,BB10_047,2010,6/16/2010,7:30,2.7,89,166.43,2,0.1,0,0.15,0.25,12.5,12.5,NA,0.75,0,18927.059,113.7238,2.7,3.88,12,1,5,-82.703,28.5459,1,19.2,35.2,5.3,80.2,31.6,Hal and Thal 5-20 cm; Sand interspersed and large patches
119,BB10_048,2010,6/15/2010,8:50,3.8,81,151.47,2,0.9,0.05,0,0.95,40,NA,NA,0.05,0,0,0,3.8,12.89,0.1,6,1,-82.852,28.3719,1,34.2,58.8,5.1,92.2,31.3,Thal 30-50 cm interspersed; sand in patches
120,BB10_049,2010,7/6/2010,12:25,2.2,118,220.66,1,0,0.45,0,0.45,,35,NA,0.55,0,1892.7059,8.5775,NA,4.92,11.8,1,5,-83.9215,29.9826,0,21.6,36.3,6.3,91.9,28.1,Syr 30-40cm; sand inter w/some patches
121,BB10_050,2010,6/30/2010,15:50,4,116,216.92,1,0.75,0,0,0.75,30,NA,NA,0.25,0,4731.7648,21.8134,NA,5.5,2.4,1,5,-83.7855,29.8794,0,31.2,53.9,6,97.6,31.5,Thal 20-40cm; sand inter w/few patches; remoras & tutle in video @ 16:28
122,BB10_052,2010,6/16/2010,10:40,2.6,86,160.82,2,0.45,0.45,0,0.9,35,35,NA,0.1,0,70976.4713,441.3411,2.6,14.93,0.4,1,5,-82.823,28.6098,1,29.3,51.5,5.4,86.5,31.8,Thal and Syr 30-40 cm mostly patches; Sand in patches
123,BB10_053,2010,6/30/2010,13:50,3,123,230.01,1,0.15,0.1,0,0.25,50,50,NA,0.75,0,75708.236,329.1519,3,3.11,2.8,1,5,-83.6125,29.7452,0,29.7,50.6,5.2,80.7,30.1,Thal/Syr 50cm; sand inter & patches; drift algae in sand patches
124,BB10_054,2010,7/7/2010,15:15,2,90,168.3,1,0.95,0.05,0,1,40,40,NA,0,0,0,0,2,3.64,0.6,1,5,-84.1375,30.0443,0,22.4,39,8.5,112.8,30,Thal and Syr ~40 cm; thin coverage intermixed well; small sand patches
125,BB10_056,2010,6/24/2010,12:55,1.9,69,129.03,1,0.98,0,0,0.98,45,NA,NA,0.02,0,0,0,1.9,3.5,2.2,1,5,-83.4162,29.4889,0,27.7,48.2,6.7,104.3,31,Thal 40-50 cm; Sand in small patches. Est from visual survey; compare vids
126,BB10_057,2010,6/30/2010,7:45,2,96,179.52,1,0.98,0.02,0,1,45,NA,NA,0,0,0,0,2,4.7,1.7,1,5,-83.6374,29.7825,0,29.4,49.6,4.4,68.2,29.7,Thal ~45 cm; intermixed; 100% grass coverage
127,BB10_059,2010,6/17/2010,9:05,2.4,85,158.95,2,0,0.8,0,0.8,,40,NA,0.2,0,14195.2943,89.3067,2.4,1.95,14,1,5,-82.6846,28.6674,1,19,34.8,5.1,77,32.1,Syr 40 cm; Sand patches; no hi def vid
128,BB10_062,2010,6/24/2010,11:50,1,40,74.8,1,0.92,0,0.03,0.95,30,20,NA,0.05,0,33122.3533,442.8122,1,0.62,7.1,1,5,-83.3596,29.4924,0,25.4,44.5,5.7,86.4,30.7,"Thal 30cm; Hal 20cm mostly in small patches,estimated from vis survey; Sand mostly  small patches. Compare hd and aqua"
129,BB10_064,2010,6/15/2010,11:35,3,89,166.43,2,0.95,0,0,0.95,25,NA,NA,0.05,0,56781.177,341.1715,3,7.91,6.6,1,5,-82.7854,28.4198,1,30.4,53.2,5.8,92.4,31.8,Thal 20-30 cm; Sand/Algae patch small
130,BB10_065,2010,7/6/2010,14:10,3.8,86,160.82,2,0.55,0.02,0,0.57,20,30,NA,0.43,0,0,0,,11.5,6.2,1,5,-83.9556,29.9311,0,30.6,50.1,6.7,101,28.5,Thal 10-30cm; Syr 30cm; sand inter w/ few patches
131,BB10_066,2010,7/7/2010,12:00,2,102,190.74,1,0.2,0.8,0,1,50,50,NA,0,0,14195.2943,74.4222,2,2.77,3.1,1,5,-83.989,30.0479,0,21.6,36.9,6.4,92.6,28.3,Tha and Syr ~50 cm; intermixed in sm patches. Grass is thin with sparse lg sand patches
132,BB10_067,2010,6/21/2010,12:00,2.4,89,166.43,2,0.85,0.05,0,0.9,30,30,NA,0.1,0,23658.8238,142.1548,2.4,11.58,0.2,2,1,-82.8273,28.7813,1,29.1,50.5,6.3,99.3,31,Tha and Syr 20-40 cm interspersed; sand patches
133,BB10_070,2010,6/23/2010,11:30,2.2,80,149.6,1,0,0.65,0,0.65,,40,NA,0.35,0,757.0824,5.0607,NA,2.05,5,5,1,-82.8263,29.0584,1,22.7,40.3,6.2,95.1,30.4,Syr 30-50 cm est from Aqua Vu; sand mainly interspersed w/some patches
134,BB10_072,2010,6/14/2010,15:00,2.9,81,151.47,2,0.1,0.85,0,0.95,50,50,NA,0.05,0,75708.236,499.8233,2.9,3.08,4.2,6,3,-82.7954,28.2397,1,32.5,56.7,6.2,101.2,32,syr (40-60cm); sand patches
135,BB10_073,2010,7/7/2010,15:25,3.5,102,190.74,2,0.6,0.05,0,0.65,25,35,NA,0.35,0,7570.8236,39.6919,NA,10.73,4.6,1,5,-84.0034,29.9645,0,26.5,44.1,7.6,96.6,28.7,Thal 20-30cm;Syr 30-40cm; SG separated; sand inter w/large patches; sponge reefs in video
136,BB10_074,2010,7/7/2010,17:00,1,129,241.23,1,0.1,0.55,0,0.65,50,50,NA,0.35,0,17034.3531,70.6146,1,2.61,6.4,1,5,-83.9582,30.0306,0,19.3,33.7,7.5,111.2,29.1,"Thal/Syr 40-60cm, mostly separate; sand inter w/some patches"
137,BB10_075,2010,6/21/2010,10:40,1.5,83,155.21,2,0.2,0.7,0,0.9,35,35,NA,0.1,0,2839.0589,18.2917,1.5,7.68,5.2,2,1,-82.775,28.7778,1,28.8,49.6,5.8,91.2,30.6,Thal and Syr 30-40 cm; Syr interspersed w/ Thal and Lg Syr only patches; Sand in patches
138,BB10_077,2010,7/2/2010,11:00,1.2,119,222.53,1,0.7,0,0.02,0.72,40,NA,10,0.28,0,14195.2943,63.7905,NA,2.31,2.8,1,5,-83.4263,29.5518,0,,,,,,Thal 30-50cm; HAWR 10cm in sandy patches; sand mainly inter w/some patches
139,BB10_079,2010,6/21/2010,8:15,2.2,86,160.82,2,0.5,0.5,0,1,50,50,NA,0,0,1892.7059,11.7691,2.2,3.76,6.2,1,2,-82.759,28.8771,1,26.9,46.2,5.2,80.7,30.5,Thal and Syr 40-60 cm; Lg patches
140,BB10_081,2010,7/2/2010,11:50,0.8,51,95.37,1,0.8,0.1,0,0.9,50,50,NA,0.1,0,123025.8835,1289.9851,0.8,1.34,3,1,5,-83.422,29.5946,0,,,,,,Thal/Syr 40-60cm; sand in patches; sand patches filled w/drift algae
141,BB10_083,2010,6/21/2010,14:00,2.1,87,162.69,2,0.9,0,0,0.9,35,NA,NA,0.1,0,1892.7059,11.6338,2.1,6.48,3,1,2,-82.799,28.845,1,29.5,51.5,8,123,31.5,Thal 20-50 cm; Sand sm to md patches
142,BB10_084,2010,6/14/2010,15:55,3.1,90,168.3,2,0,1,0,1,,55,NA,0,0,18927.059,112.4602,3.1,2.96,1,6,3,-82.8113,28.2139,1,33.6,59,6.7,109.9,32.1,Syr 50-60 cm; Insignificant Thal presence
143,BB10_085,2010,6/29/2010,9:30,2.5,99,185.13,1,0.35,0.25,0.05,0.65,35,35,10,0.35,0,14195.2943,76.6774,2.5,6.19,4.8,1,5,-83.8252,29.9229,0,27.2,47.8,4.9,77.4,31.4,Thal/Syr 30-40cm; HAWR 10cm in patches; sand mostly inter w/some large patches; tow distance based on Jimmy segment average
144,BB10_087,2010,6/16/2010,17:09,1.7,90,168.3,2,0.08,0,0.02,0.1,5,NA,5,0.8,0.1,94635.295,562.3012,1.7,1.42,14,1,5,-82.6828,28.5269,1,16,30.6,6.7,100.3,33.4,"Hal and Thal ~5 cm; 10% sargassum clumps, video of habitat may not be useful"
145,BB10_088,2010,6/15/2010,7:55,2.8,83,155.21,2,0.8,0.2,0,1,50,50,NA,0,0,37854.118,243.8897,2.8,10.87,2.5,6,1,-82.8276,28.3732,1,33.3,57.1,5.3,86,31.2,Thal 40-60 cm; Syr 40-60cm interspersed; Insignificant sand patches
146,BB10_089,2010,7/6/2010,14:40,2,100,187,1,0.5,0.15,0,0.65,40,40,NA,0.35,0,9463.5295,50.6071,NA,8.13,9.8,1,5,-83.9531,29.9644,0,25.6,42.9,6.8,102.1,28.8,"Thal/Syr 30-50cm, seperated; sand inter w/patches"
147,BB10_090,2010,6/30/2010,6:00,4.8,97,181.39,1,0.2,0.35,0,0.55,35,35,NA,0.4,0.05,0,0,NA,10.14,1.1,1,5,-83.7899,29.8668,0,31.1,53.8,6,95.8,31.4,"Thal/Syr 30-40cm; sand inter & patches; Grass looks in bad shape, murky water"
148,BB10_092,2010,6/16/2010,9:10,3,79,147.73,2,0.45,0.35,0,0.8,30,30,NA,0.2,0,33122.3533,224.2087,3,15.79,0,1,5,-82.8271,28.5506,1,28,49.2,5.4,86.5,31.6,Thal and Syr 25-35 cm interspersed; drift algae patches
149,BB10_093,2010,7/6/2010,12:50,2.1,83,155.21,1,,,,,,NA,NA,,,1892.7059,12.1945,,4.91,11.4,1,5,-83.9116,29.9781,0,22,37.5,6.3,88.5,27.8,no video (tape runs black -- maybe bad connection)
150,BB10_094,2010,6/24/2010,10:15,1.7,87,162.69,1,0.02,0.9,0,0.92,55,55,NA,0.08,0,1892.7059,11.6338,1.7,3.73,2.5,1,5,-83.3334,29.4326,0,25.2,43.8,6.1,93,30.2,"Syr and Thal 50-60 cm, one Thal patch + some inter; Sand mostly from lg patch at end w/some inter"
151,BB10_096,2010,6/15/2010,13:45,2.8,77,143.99,2,0.25,0,0.25,0.5,17.5,17.5,NA,0.5,0,94635.295,657.2352,2.8,5.04,9.8,5,1,-82.7534,28.4223,1,28.5,50.6,5.8,92.1,32.4,Thal and Hal 15-20 cm; interspersed. Sand interspersed and patches
152,BB10_098,2010,7/1/2010,10:45,1.1,92,172.04,1,0,0.25,0,0.25,,35,NA,0.7,0.05,94635.295,550.0773,1.1,1.26,10.6,1,5,-83.6953,29.9121,0,25.2,32.4,4.4,64.5,28.2,Syr 30-40cm; sand patches & inter
153,BB10_099,2010,6/17/2010,15:45,0.5,73,136.51,2,0.8,0,0.15,0.95,40,20,NA,0.05,0,37854.118,277.2992,0.5,2.4,10.5,2,1,-82.7209,28.7887,1,29.1,54.1,11.8,201.3,35,Thal 30-50 cm; Hal 20cm; patches. Sand lg patches
154,BB10_100,2010,6/16/2010,12:50,2.4,70,130.9,2,0.95,0,0,0.95,35,NA,NA,0.05,0,18927.059,144.5917,2.4,10.54,5.3,1,5,-82.7726,28.6072,1,25.1,45.4,6.2,99.2,32.6,Thal 30-40 cm; Sand sm patches. Trawled sm strip of SG in Lg sect of drift algae
155,BB10_101,2010,6/30/2010,19:00,2,91,170.17,1,0.5,0.3,0,0.8,35,35,NA,0.2,0,5678.1177,33.3673,2,3.4,1.8,1,5,-83.6513,29.8308,0,,52.2,7.6,116.3,31.1,"Thal/Syr 30-40cm, SG in dense patches w/large sand patches; can see trawl tracks in sand on video @ 19:50 (trawl 1) and 19:59 (trawl 2)"
156,BB10_103,2010,6/16/2010,15:10,2,91,170.17,2,0.9,0,0,0.9,10,NA,NA,0.1,0,37854.118,222.4488,2,4.3,11.5,1,5,-82.709,28.6309,1,21.8,40.6,6.8,108.8,33.4,"Thal 10cm; Thal and sand mostly inter w/ some patches. Trawled pulled 230m from site, otherwise all macroalgae"
157,BB10_104,2010,6/14/2010,11:15,2.5,85,158.95,2,0.65,0,0,0.65,12.5,NA,NA,0.35,0,28390.5885,178.6133,2.5,3.99,8.9,1,5,-82.7701,28.3364,1,34.3,58.8,5.8,95.6,31.6,Thal 10-15 cm; Thal and sand mixed and inter
158,BB10_106,2010,7/1/2010,10:15,2,109,203.83,1,0.35,0.3,0,0.65,50,50,NA,0.35,0,18927.059,92.8571,NA,3.83,8.1,1,5,-83.7095,29.8918,0,29,48.4,5.3,81.8,28.5,Thal/Syr 40-60cm; sand mostly inter w/few patches
159,BB10_108,2010,6/17/2010,9:45,2,76,142.12,2,0.9,0.05,0,0.95,32.5,32.5,NA,0.05,0,4731.7648,33.2942,2,7.18,8.9,5,1,-82.7368,28.674,1,23,41.8,4.6,72,32.2,Thal and Syr 25-40 cm; Syr interspersed; Sand patches.HD video of Southern Sting Ray
160,BB10_110,2010,7/7/2010,14:45,1,115,215.05,1,0.05,0,0.05,0.1,10,NA,10,0.8,0.1,151416.472,704.0989,1,0.28,4.7,1,5,-84.0426,30.0959,0,14,24.9,9.3,140,30,"Thal/HAWR 10cm, separated; sand HUGE patches; Possible throw out. Not much grass on transect"
161,BB10_111,2010,6/21/2010,9:30,1,84,157.08,2,0.75,0,0.05,0.8,35,20,NA,0.2,0,18927.059,120.4931,1,2.08,9.4,1,5,-82.7332,28.8124,1,28.3,47.8,4.2,64.1,29.4,Thal 30-40 cm; Hal 20cm; Small patches of Hal; Sand mostly in patches w/some inter
162,BB10_113,2010,6/29/2010,10:15,3.5,88,164.56,1,,,,,,NA,NA,,,4731.7648,28.754,3.5,8.63,3.8,1,5,-83.8586,29.909,0,27.6,48.3,5.5,85.5,31.5,
163,BB10_114,2010,6/23/2010,13:50,0.8,84,157.08,2,0.9,0.03,0,0.93,12.5,20,NA,0.07,0,2839.0589,18.074,0.08,4.7,0.3,5,1,-83.0222,29.1238,0,29.5,51.6,6.9,112.6,32.4,"Thal 10-15 cm; Syr single patch 20cm; Sand med patches. Estimated from Aqua Vu, confirmed with snorkel"
164,BB10_116,2010,6/24/2010,10:45,3.3,100,187,2,0.8,0,0,0.8,15,NA,NA,0.2,0,66244.7065,354.2498,NA,8.92,4.7,1,5,-82.823,28.3316,1,34.7,52.9,6.3,102.8,31,Thal 10-20 cm; sand patches. Checktime on video (no ref shown) 1st vid
165,BB10_117,2010,7/6/2010,11:45,2.4,102,190.74,1,0.2,0.2,0,0.4,30,30,NA,0.5,0.1,14195.2943,74.4222,NA,4.19,11.3,1,5,-83.9282,29.9925,0,21.3,35.7,6.5,92.6,28.1,"Thal/Syr 30cm, separated; sand inter w/large patches"
166,BB10_120,2010,6/16/2010,11:30,2.5,77,143.99,2,0.3,0.6,0,0.9,45,45,NA,0.1,0,56781.177,394.3411,2.5,14.38,1.5,1,5,-82.8115,28.6035,1,28.6,51.2,5.4,86.6,32.5,Thal 40-50 cm; Syr inter and patch. Trawled SG patch in middle of otherwise heavy sponge grounds
167,BB10_121,2010,6/30/2010,15:00,4,101,188.87,1,0.3,0.6,0,0.9,30,30,NA,0.1,0,0,0,4,6.15,0.2,1,5,-83.6435,29.7375,0,29.6,45.9,5.9,93.5,31.1,Thal and Syr ~30cm; in separate patches not very thick beds. Sand patches
168,BB10_123,2010,6/17/2010,14:10,1.7,83,155.21,2,0.9,0,0,0.9,20,NA,NA,0.1,0,18927.059,121.9448,1.7,9.64,3.6,5,1,-82.7914,28.7474,1,28.5,51.7,7.2,117.4,33.5,Thal 15-25cm; Sand mainly sm with some large patches
169,BB10_125,2010,6/30/2010,10:10,1.5,68,127.16,1,0.9,0,0,0.9,35,NA,NA,0.1,0,28390.5885,223.2667,NA,0.22,6,1,5,-83.5813,29.7574,0,,,,,,Thal 30-40cm; sand in patches; depth measurement not taken -- inferred from bathymetric map (MapSource)
170,BB10_126,2010,7/7/2010,16:00,0.5,98,183.26,1,0.98,0,0,0.98,35,NA,NA,0.02,0,9463.5295,51.6399,0.5,1.49,0.9,1,5,-84.1723,30.0579,0,19.1,34.9,10.2,242,30.5,Thal 30-40cm; sand in small patches of thin SG
